空中延时测试：信号源10Hz方波,,,,,,,,,
序号,接收时间戳Tror,信号触发时间戳Ttor,空中延时,,Tror间隔,Ttor间隔,,,
365,272997406,272925042,72364,,399996,399999,,,
366,273397402,273325042,72360,,399996,400000,,,
367,273797397,273725042,72355,,399995,400000,,,
368,274197461,274125041,72420,,400064,399999,,,
369,274597423,274525041,72382,,399962,400000,,,
370,274997418,274925041,72377,,399995,400000,,,
371,275397414,275325040,72374,,399996,399999,,,
372,275797410,275725040,72370,,399996,400000,,,
373,276197405,276125040,72365,,399995,400000,,,
374,276597401,276525039,72362,,399996,399999,,,
375,276997397,276925039,72358,,399996,400000,,,
376,277397392,277325039,72353,,399995,400000,,,
377,277797456,277725038,72418,,400064,399999,,,
378,278197418,278125038,72380,,399962,400000,,,
379,278597413,278525038,72375,,399995,400000,,,
380,278997409,278925037,72372,,399996,399999,,,
381,279397405,279325037,72368,,399996,400000,,,
382,279797400,279725037,72363,,399995,400000,,,
383,280197396,280125036,72360,,399996,399999,,,
384,280597392,280525036,72356,,399996,400000,,,
385,280997455,280925036,72419,,400063,400000,,,
386,281397417,281325035,72382,,399962,399999,,,
387,281797413,281725035,72378,,399996,400000,,,
388,282197408,282125034,72374,,399995,399999,,,
389,282597404,282525034,72370,,399996,400000,,,
390,282997400,282925034,72366,,399996,400000,,,
391,283397395,283325033,72362,,399995,399999,,,
392,283797391,283725033,72358,,399996,400000,,,
393,284197387,284125033,72354,,399996,400000,,,
394,284597382,284525032,72350,,399995,399999,,,
395,284997378,284925032,72346,,399996,400000,,,
396,285397442,285325032,72410,,400064,400000,,,
397,285797403,285725031,72372,,399961,399999,,,
398,286197399,286125031,72368,,399996,400000,,,
399,286597395,286525031,72364,,399996,400000,,,
400,286997390,286925030,72360,,399995,399999,,,
401,287397386,287325030,72356,,399996,400000,,,
402,287797382,287725030,72352,,399996,400000,,,
403,288197445,288125029,72416,,400063,399999,,,
404,288597407,288525029,72378,,399962,400000,,,
405,288997403,288925029,72374,,399996,400000,,,
406,289397398,289325028,72370,,399995,399999,,,
407,289797394,289725028,72366,,399996,400000,,,
408,290197390,290125028,72362,,399996,400000,,,
409,290597385,290525027,72358,,399995,399999,,,
410,290997381,290925027,72354,,399996,400000,,,
411,291397377,291325027,72350,,399996,400000,,,
412,291797440,291725026,72414,,400063,399999,,,
413,292197402,292125026,72376,,399962,400000,,,
414,292597398,292525026,72372,,399996,400000,,,
415,292997393,292925025,72368,,399995,399999,,,
416,293397389,293325025,72364,,399996,400000,,,
417,293797385,293725025,72360,,399996,400000,,,
418,294197380,294125024,72356,,399995,399999,,,
419,294597444,294525024,72420,,400064,400000,,,
420,294997406,294925024,72382,,399962,400000,,,
421,295397401,295325023,72378,,399995,399999,,,
422,295797397,295725023,72374,,399996,400000,,,
423,296197393,296125023,72370,,399996,400000,,,
424,296597388,296525022,72366,,399995,399999,,,
425,296997384,296925022,72362,,399996,400000,,,
426,297397380,297325022,72358,,399996,400000,,,
427,297797375,297725021,72354,,399995,399999,,,
428,298197371,298125021,72350,,399996,400000,,,
429,298597435,298525021,72414,,400064,400000,,,
430,298997396,298925020,72376,,399961,399999,,,
431,299397392,299325020,72372,,399996,400000,,,
432,299797388,299725020,72368,,399996,400000,,,
433,300197383,300125019,72364,,399995,399999,,,
434,300597379,300525019,72360,,399996,400000,,,
435,300997375,300925018,72357,,399996,399999,,,
436,301397370,301325018,72352,,399995,400000,,,
437,301797366,301725018,72348,,399996,400000,,,
438,302197430,302125017,72413,,400064,399999,,,
439,302597391,302525017,72374,,399961,400000,,,
440,302997387,302925017,72370,,399996,400000,,,
441,303397383,303325016,72367,,399996,399999,,,
442,303797378,303725016,72362,,399995,400000,,,
443,304197374,304125016,72358,,399996,400000,,,
444,304597370,304525015,72355,,399996,399999,,,
445,304997365,304925015,72350,,399995,400000,,,
446,305397429,305325015,72414,,400064,400000,,,
447,305797391,305725014,72377,,399962,399999,,,
448,306197386,306125014,72372,,399995,400000,,,
449,306597382,306525014,72368,,399996,400000,,,
450,306997378,306925013,72365,,399996,399999,,,
451,307397373,307325013,72360,,399995,400000,,,
452,307797369,307725013,72356,,399996,400000,,,
453,308197365,308125012,72353,,399996,399999,,,
454,308597428,308525012,72416,,400063,400000,,,
455,308997390,308925012,72378,,399962,400000,,,
456,309397386,309325011,72375,,399996,399999,,,
457,309797381,309725011,72370,,399995,400000,,,
458,310197377,310125011,72366,,399996,400000,,,
459,310597373,310525010,72363,,399996,399999,,,
460,310997368,310925010,72358,,399995,400000,,,
461,311397364,311325010,72354,,399996,400000,,,
462,311797360,311725009,72351,,399996,399999,,,
463,312197355,312125009,72346,,399995,400000,,,
464,312597351,312525009,72342,,399996,400000,,,
465,312997347,312925008,72339,,399996,399999,,,
466,313397410,313325008,72402,,400063,400000,,,
467,313797406,313725008,72398,,399996,400000,,,
468,314197368,314125007,72361,,399962,399999,,,
469,314597363,314525007,72356,,399995,400000,,,
470,314997359,314925007,72352,,399996,400000,,,
471,315397355,315325006,72349,,399996,399999,,,
472,315797418,315725006,72412,,400063,400000,,,
473,316197380,316125006,72374,,399962,400000,,,
474,316597376,316525005,72371,,399996,399999,,,
475,316997371,316925005,72366,,399995,400000,,,
476,317397367,317325005,72362,,399996,400000,,,
477,317797363,317725004,72359,,399996,399999,,,
478,318197358,318125004,72354,,399995,400000,,,
479,318597354,318525004,72350,,399996,400000,,,
480,318997418,318925003,72415,,400064,399999,,,
481,319397379,319325003,72376,,399961,400000,,,
482,319797375,319725002,72373,,399996,399999,,,
483,320197371,320125002,72369,,399996,400000,,,
484,320597366,320525002,72364,,399995,400000,,,
485,320997362,320925001,72361,,399996,399999,,,
486,321397358,321325001,72357,,399996,400000,,,
487,321797353,321725001,72352,,399995,400000,,,
